Week,Chg,Player,Team,Opp,Att,Yard,TD,Rec,Yard,TD,FPts
1,,Tyreek Hill,MIA,JAC,0,0,0.0,7,98,0.8,14.6
1,,Justin Jefferson,MIN,@NYG,0,0,0.0,7,92,0.6,12.8
1,,CeeDee Lamb,DAL,@CLE,0,0,0.0,7,90,0.6,12.6
1,,Deebo Samuel,SF,NYJ,3,11,0.2,5,70,0.5,12.3
1,,Davante Adams,LV,@LAC,0,0,0.0,7,87,0.5,11.7
1,,Malik Nabers,NYG,MIN,0,0,0.0,7,87,0.5,11.7
1,,Amon-Ra St. Brown,DET,LAR,0,0,0.0,7,87,0.5,11.7
1,,Garrett Wilson,NYJ,@SF,0,0,0.0,6,81,0.6,11.7
1,,A.J. Brown,PHI,GB,0,0,0.0,6,85,0.5,11.5
1,,Puka Nacua,LAR,@DET,0,0,0.0,6,85,0.5,11.5
1,,Chris Olave,NO,CAR,0,0,0.0,6,85,0.5,11.5
1,,Rashee Rice,KC,BAL,0,0,0.0,7,83,0.5,11.3
1,,Ja'Marr Chase,CIN,NE,0,0,0.0,6,82,0.5,11.2
1,,Marvin Harrison Jr.,ARI,@BUF,0,0,0.0,6,79,0.5,10.9
1,,Mike Evans,TB,WAS,0,0,0.0,5,77,0.5,10.7
1,,Nico Collins,HOU,@IND,0,0,0.0,5,75,0.5,10.5
1,,Cooper Kupp,LAR,@DET,0,0,0.0,6,80,0.4,10.4
1,,Drake London,ATL,PIT,0,0,0.0,6,74,0.5,10.4
1,,DeVonta Smith,PHI,GB,0,0,0.0,5,74,0.5,10.4
1,,DK Metcalf,SEA,DEN,0,0,0.0,6,77,0.4,10.1
1,,Jaylen Waddle,MIA,JAC,0,0,0.0,6,76,0.4,10.0
1,,Michael Pittman Jr.,IND,HOU,0,0,0.0,6,74,0.4,9.8
1,,Amari Cooper,CLE,DAL,0,0,0.0,5,73,0.4,9.7
1,,Zay Flowers,BAL,@KC,0,0,0.0,6,73,0.4,9.7
1,,Christian Kirk,JAC,@MIA,0,0,0.0,5,73,0.4,9.7
1,,D.J. Moore,CHI,TEN,0,0,0.0,6,73,0.4,9.7
1,,Calvin Ridley,TEN,@CHI,0,0,0.0,5,67,0.5,9.7
1,,Chris Godwin,TB,WAS,0,0,0.0,6,71,0.4,9.5
1,,Stefon Diggs,HOU,@IND,0,0,0.0,5,68,0.4,9.2
1,,Terry McLaurin,WAS,@TB,0,0,0.0,6,73,0.3,9.1
1,,Brandon Aiyuk,SF,NYJ,0,0,0.0,5,66,0.4,9.0
1,,Tank Dell,HOU,@IND,0,0,0.0,5,66,0.4,9.0
1,,George Pickens,PIT,@ATL,0,0,0.0,5,66,0.4,9.0
1,,Josh Palmer,LAC,LV,0,0,0.0,5,70,0.3,8.8
1,,Courtland Sutton,DEN,@SEA,0,0,0.0,5,64,0.4,8.8
1,,DeAndre Hopkins,TEN,@CHI,0,0,0.0,5,63,0.4,8.7
1,,Diontae Johnson,CAR,@NO,0,0,0.0,5,68,0.3,8.6
1,,Jaxon Smith-Njigba,SEA,DEN,0,0,0.0,5,64,0.3,8.2
1,,Christian Watson,GB,@PHI,0,0,0.0,4,63,0.3,8.1
1,,Xavier Worthy,KC,BAL,0,0,0.0,4,57,0.4,8.1
1,,Khalil Shakir,BUF,ARI,0,0,0.0,5,62,0.3,8.0
1,,Ladd McConkey,LAC,LV,0,0,0.0,5,60,0.3,7.8
1,,Jordan Addison,MIN,@NYG,0,0,0.0,5,58,0.3,7.6
1,,Brian Thomas Jr.,JAC,@MIA,0,0,0.0,4,56,0.3,7.4
1,,Jayden Reed,GB,@PHI,0,0,0.0,4,55,0.3,7.3
1,,Brandin Cooks,DAL,@CLE,0,0,0.0,4,53,0.3,7.1
1,,Demario Douglas,NE,@CIN,0,0,0.0,5,53,0.3,7.1
1,,Keenan Allen,CHI,TEN,0,0,0.0,4,52,0.3,7.0
1,,Rome Odunze,CHI,TEN,0,0,0.0,4,52,0.3,7.0
1,,Jameson Williams,DET,LAR,2,8,0.0,3,44,0.3,7.0
2,,Tyreek Hill,MIA,BUF,0,0,0.0,7,96,0.8,14.4
2,,Cooper Kupp,LAR,@ARI,0,0,0.0,7,95,0.7,13.7
2,,Deebo Samuel,SF,@MIN,6,25,0.2,5,68,0.5,13.5
2,,CeeDee Lamb,DAL,NO,0,0,0.0,7,91,0.7,13.3
2,,Justin Jefferson,MIN,SF,0,0,0.0,6,82,0.6,11.8
2,,Rashee Rice,KC,CIN,0,0,0.0,7,87,0.5,11.7
2,,DeVonta Smith,PHI,ATL,0,0,0.0,6,87,0.5,11.7
2,,Amon-Ra St. Brown,DET,TB,0,0,0.0,7,84,0.5,11.4
2,,Garrett Wilson,NYJ,@TEN,0,0,0.0,6,78,0.6,11.4
2,,Mike Evans,TB,@DET,0,0,0.0,5,77,0.6,11.3
2,,Ja'Marr Chase,CIN,@KC,0,0,0.0,6,80,0.5,11.0
2,,Nico Collins,HOU,CHI,0,0,0.0,6,78,0.5,10.8
2,,Malik Nabers,NYG,@WAS,0,0,0.0,6,77,0.5,10.7
2,,Davante Adams,LV,@BAL,0,0,0.0,6,74,0.5,10.4
2,,Chris Olave,NO,@DAL,0,0,0.0,6,73,0.5,10.3
2,,Chris Godwin,TB,@DET,0,0,0.0,6,71,0.5,10.1
2,,Jaylen Waddle,MIA,BUF,0,0,0.0,5,75,0.4,9.9
2,,Tank Dell,HOU,CHI,0,0,0.0,5,74,0.4,9.8
2,,Jameson Williams,DET,TB,1,8,0.0,4,60,0.5,9.8
2,,DK Metcalf,SEA,@NE,0,0,0.0,5,73,0.4,9.7
2,,Drake London,ATL,@PHI,0,0,0.0,5,65,0.5,9.5
2,,Christian Kirk,JAC,CLE,0,0,0.0,5,70,0.4,9.4
2,,Stefon Diggs,HOU,CHI,0,0,0.0,5,68,0.4,9.2
2,,George Pickens,PIT,@DEN,0,0,0.0,5,68,0.4,9.2
2,,Zay Flowers,BAL,LV,0,0,0.0,5,67,0.4,9.1
2,,Xavier Worthy,KC,CIN,3,11,0.0,4,55,0.4,9.0
2,,Brandon Aiyuk,SF,@MIN,0,0,0.0,4,65,0.4,8.9
2,,Amari Cooper,CLE,@JAC,0,0,0.0,5,65,0.4,8.9
2,,Marvin Harrison Jr.,ARI,LAR,0,0,0.0,5,65,0.4,8.9
2,,D.J. Moore,CHI,@HOU,0,0,0.0,5,63,0.4,8.7
2,,Calvin Ridley,TEN,NYJ,0,0,0.0,5,60,0.4,8.4
2,,Ladd McConkey,LAC,@CAR,0,0,0.0,5,64,0.3,8.2
2,,Terry McLaurin,WAS,NYG,0,0,0.0,5,63,0.3,8.1
2,,Michael Pittman Jr.,IND,@GB,0,0,0.0,5,63,0.3,8.1
2,,Brian Thomas Jr.,JAC,CLE,0,0,0.0,5,63,0.3,8.1
2,,Keon Coleman,BUF,@MIA,0,0,0.0,5,62,0.3,8.0
2,,Josh Palmer,LAC,@CAR,0,0,0.0,5,60,0.3,7.8
2,,Rashid Shaheed,NO,@DAL,0,0,0.0,4,59,0.3,7.7
2,,Jaxon Smith-Njigba,SEA,@NE,0,0,0.0,5,59,0.3,7.7
2,,Diontae Johnson,CAR,LAC,0,0,0.0,4,58,0.3,7.6
2,,Tyler Lockett,SEA,@NE,0,0,0.0,5,58,0.3,7.6
2,,Brandin Cooks,DAL,NO,0,0,0.0,4,55,0.3,7.3
2,,Courtland Sutton,DEN,PIT,0,0,0.0,4,55,0.3,7.3
2,,Demarcus Robinson,LAR,@ARI,0,0,0.0,4,53,0.3,7.1
2,,Jayden Reed,GB,IND,0,0,0.0,4,51,0.3,6.9
2,,Khalil Shakir,BUF,@MIA,0,0,0.0,4,51,0.3,6.9
2,,Demario Douglas,NE,SEA,0,0,0.0,4,50,0.3,6.8
2,,Adonai Mitchell,IND,@GB,0,0,0.0,4,50,0.3,6.8
2,,Rome Odunze,CHI,@HOU,0,0,0.0,3,48,0.3,6.6
2,,Wan'Dale Robinson,NYG,@WAS,0,0,0.0,4,54,0.2,6.6
3,,Ja'Marr Chase,CIN,WAS,0,0,0.0,7,88,0.7,13.0
3,,Justin Jefferson,MIN,HOU,0,0,0.0,6,85,0.7,12.7
3,,Nico Collins,HOU,@MIN,0,0,0.0,6,88,0.6,12.4
3,,CeeDee Lamb,DAL,BAL,0,0,0.0,6,84,0.6,12.0
3,,DeVonta Smith,PHI,@NO,0,0,0.0,6,83,0.6,11.9
3,,Amon-Ra St. Brown,DET,@ARI,0,0,0.0,7,87,0.5,11.7
3,,Rashee Rice,KC,@ATL,0,0,0.0,7,85,0.5,11.5
3,,Davante Adams,LV,CAR,0,0,0.0,6,80,0.5,11.0
3,,Garrett Wilson,NYJ,NE,0,0,0.0,6,72,0.6,10.8
3,,Brandon Aiyuk,SF,@LAR,0,0,0.0,6,77,0.5,10.7
3,,Mike Evans,TB,DEN,0,0,0.0,5,70,0.6,10.6
3,,Chris Godwin,TB,DEN,0,0,0.0,7,75,0.5,10.5
3,,Tyreek Hill,MIA,@SEA,0,0,0.0,5,75,0.5,10.5
3,,DK Metcalf,SEA,MIA,0,0,0.0,5,75,0.5,10.5
3,,Chris Olave,NO,PHI,0,0,0.0,6,75,0.5,10.5
3,,Malik Nabers,NYG,@CLE,0,0,0.0,5,73,0.5,10.3
3,,Jameson Williams,DET,@ARI,1,8,0.0,4,65,0.5,10.3
3,,Marvin Harrison Jr.,ARI,DET,0,0,0.0,6,72,0.5,10.2
3,,Zay Flowers,BAL,@DAL,0,0,0.0,6,70,0.4,9.4
3,,Stefon Diggs,HOU,@MIN,0,0,0.0,5,62,0.5,9.2
3,,George Pickens,PIT,LAC,0,0,0.0,5,68,0.4,9.2
3,,D.J. Moore,CHI,@IND,0,0,0.0,5,66,0.4,9.0
3,,Rashid Shaheed,NO,PHI,0,0,0.0,4,60,0.5,9.0
3,,Calvin Ridley,TEN,GB,0,0,0.0,5,65,0.4,8.9
3,,Xavier Worthy,KC,@ATL,2,10,0.0,4,55,0.4,8.9
3,,Jaxon Smith-Njigba,SEA,MIA,0,0,0.0,5,68,0.3,8.6
3,,Brian Thomas Jr.,JAC,@BUF,0,0,0.0,5,65,0.3,8.3
3,,Demarcus Robinson,LAR,SF,0,0,0.0,5,63,0.3,8.1
3,,Tee Higgins,CIN,WAS,0,0,0.0,4,55,0.4,7.9
3,,Khalil Shakir,BUF,JAC,0,0,0.0,5,60,0.3,7.8
3,,Diontae Johnson,CAR,@LV,0,0,0.0,4,58,0.3,7.6
3,,Michael Pittman Jr.,IND,CHI,0,0,0.0,5,58,0.3,7.6
3,,Terry McLaurin,WAS,@CIN,0,0,0.0,4,57,0.3,7.5
3,,Tank Dell,HOU,@MIN,0,0,0.0,4,56,0.3,7.4
3,,Amari Cooper,CLE,NYG,0,0,0.0,4,55,0.3,7.3
3,,Ladd McConkey,LAC,@PIT,0,0,0.0,4,54,0.3,7.2
3,,Jaylen Waddle,MIA,@SEA,0,0,0.0,4,53,0.3,7.1
3,,Keon Coleman,BUF,JAC,0,0,0.0,4,51,0.3,6.9
3,,Drake London,ATL,KC,0,0,0.0,4,50,0.3,6.8
3,,Courtland Sutton,DEN,@TB,0,0,0.0,4,50,0.3,6.8
3,,Brandin Cooks,DAL,BAL,0,0,0.0,4,49,0.3,6.7
3,,Quentin Johnston,LAC,@PIT,0,0,0.0,4,49,0.3,6.7
3,,Jayden Reed,GB,@TEN,0,0,0.0,4,46,0.3,6.4
3,,Tyler Lockett,SEA,MIA,0,0,0.0,4,50,0.2,6.2
3,,Rome Odunze,CHI,@IND,0,0,0.0,3,44,0.3,6.2
3,,Wan'Dale Robinson,NYG,@CLE,0,0,0.0,4,50,0.2,6.2
3,,Jerry Jeudy,CLE,NYG,0,0,0.0,4,47,0.2,5.9
3,,Darnell Mooney,ATL,KC,0,0,0.0,3,46,0.2,5.8
3,,Adam Thielen,CAR,@LV,0,0,0.0,3,43,0.2,5.5
3,,Christian Watson,GB,@TEN,0,0,0.0,3,37,0.3,5.5
4,,Ja'Marr Chase,CIN,@CAR,0,0,0.0,6,87,0.7,12.9
4,,Justin Jefferson,MIN,@GB,0,0,0.0,6,83,0.7,12.5
4,,Nico Collins,HOU,JAC,0,0,0.0,6,87,0.6,12.3
4,,CeeDee Lamb,DAL,@NYG,0,0,0.0,6,82,0.6,11.8
4,,Rashee Rice,KC,@LAC,0,0,0.0,7,85,0.5,11.5
4,,Marvin Harrison Jr.,ARI,WAS,0,0,0.0,6,77,0.6,11.3
4,,Malik Nabers,NYG,DAL,0,0,0.0,5,70,0.7,11.2
4,,Amon-Ra St. Brown,DET,SEA,0,0,0.0,7,82,0.5,11.2
4,,Mike Evans,TB,PHI,0,0,0.0,5,75,0.6,11.1
4,,Chris Olave,NO,@ATL,0,0,0.0,6,77,0.5,10.7
4,,DK Metcalf,SEA,@DET,0,0,0.0,5,73,0.5,10.3
4,,Chris Godwin,TB,PHI,0,0,0.0,6,70,0.5,10.0
4,,Jameson Williams,DET,SEA,1,8,0.0,4,60,0.5,9.8
4,,Jayden Reed,GB,MIN,2,13,0.0,5,60,0.4,9.7
4,,Garrett Wilson,NYJ,DEN,0,0,0.0,5,67,0.5,9.7
4,,Stefon Diggs,HOU,JAC,0,0,0.0,5,66,0.5,9.6
4,,Brandon Aiyuk,SF,NE,0,0,0.0,5,70,0.4,9.4
4,,Zay Flowers,BAL,BUF,1,5,0.0,6,65,0.4,9.4
4,,D.J. Moore,CHI,LAR,0,0,0.0,5,69,0.4,9.3
4,,Tyreek Hill,MIA,TEN,0,0,0.0,5,68,0.4,9.2
4,,Diontae Johnson,CAR,CIN,0,0,0.0,5,68,0.4,9.2
4,,Calvin Ridley,TEN,@MIA,0,0,0.0,5,66,0.4,9.0
4,,Amari Cooper,CLE,@LV,0,0,0.0,5,65,0.4,8.9
4,,George Pickens,PIT,@IND,0,0,0.0,5,65,0.4,8.9
4,,Deebo Samuel,SF,NE,3,15,0.0,4,50,0.4,8.9
4,,Rashid Shaheed,NO,@ATL,0,0,0.0,3,58,0.5,8.8
4,,Terry McLaurin,WAS,@ARI,0,0,0.0,5,63,0.4,8.7
4,,Drake London,ATL,NO,0,0,0.0,5,60,0.4,8.4
4,,Jaxon Smith-Njigba,SEA,@DET,0,0,0.0,6,65,0.3,8.3
4,,Tee Higgins,CIN,@CAR,0,0,0.0,4,58,0.4,8.2
4,,Xavier Worthy,KC,@LAC,2,8,0.0,4,50,0.4,8.2
4,,Khalil Shakir,BUF,@BAL,0,0,0.0,5,63,0.3,8.1
4,,Brian Thomas Jr.,JAC,@HOU,0,0,0.0,4,58,0.3,7.6
4,,Ladd McConkey,LAC,KC,0,0,0.0,4,56,0.3,7.4
4,,Jakobi Meyers,LV,CLE,0,0,0.0,5,55,0.3,7.3
4,,Courtland Sutton,DEN,@NYJ,0,0,0.0,4,54,0.3,7.2
4,,Darnell Mooney,ATL,NO,0,0,0.0,4,53,0.3,7.1
4,,Quentin Johnston,LAC,KC,0,0,0.0,4,52,0.3,7.0
4,,Demarcus Robinson,LAR,@CHI,0,0,0.0,4,52,0.3,7.0
4,,Michael Wilson,ARI,WAS,0,0,0.0,4,52,0.3,7.0
4,,Keon Coleman,BUF,@BAL,0,0,0.0,4,51,0.3,6.9
4,,Jaylen Waddle,MIA,TEN,0,0,0.0,4,50,0.3,6.8
4,,Christian Kirk,JAC,@HOU,0,0,0.0,4,54,0.2,6.6
4,,Michael Pittman Jr.,IND,PIT,0,0,0.0,4,48,0.3,6.6
4,,Jordan Addison,MIN,@GB,0,0,0.0,4,53,0.2,6.5
4,,Brandin Cooks,DAL,@NYG,0,0,0.0,4,47,0.3,6.5
4,,Keenan Allen,CHI,LAR,0,0,0.0,4,45,0.3,6.3
4,,Christian Watson,GB,MIN,0,0,0.0,3,43,0.3,6.1
4,,Romeo Doubs,GB,MIN,0,0,0.0,4,47,0.2,5.9
4,,Tyler Lockett,SEA,@DET,0,0,0.0,4,47,0.2,5.9
5,,Ja'Marr Chase,CIN,BAL,0,0,0.0,6,84,0.7,12.6
5,,Justin Jefferson,MIN,NYJ,0,0,0.0,6,80,0.7,12.2
5,,Jayden Reed,GB,@LAR,2,13,0.0,6,77,0.5,12.0
5,,Nico Collins,HOU,BUF,0,0,0.0,6,85,0.5,11.5
5,,CeeDee Lamb,DAL,@PIT,0,0,0.0,6,78,0.6,11.4
5,,Mike Evans,TB,@ATL,0,0,0.0,5,74,0.6,11.0
5,,DK Metcalf,SEA,NYG,0,0,0.0,6,80,0.5,11.0
5,,Marvin Harrison Jr.,ARI,@SF,0,0,0.0,6,70,0.6,10.6
5,,Deebo Samuel,SF,ARI,3,14,0.0,5,68,0.4,10.6
5,,Chris Godwin,TB,@ATL,0,0,0.0,6,71,0.5,10.1
5,,Diontae Johnson,CAR,@CHI,0,0,0.0,5,71,0.5,10.1
5,,Amari Cooper,CLE,@WAS,0,0,0.0,5,70,0.5,10.0
5,,Stefon Diggs,HOU,BUF,0,0,0.0,5,70,0.5,10.0
5,,Garrett Wilson,NYJ,@MIN,0,0,0.0,5,67,0.5,9.7
5,,Tyreek Hill,MIA,@NE,2,8,0.0,4,61,0.4,9.3
5,,George Pickens,PIT,DAL,0,0,0.0,5,68,0.4,9.2
5,,Michael Pittman Jr.,IND,@JAC,0,0,0.0,6,72,0.3,9.0
5,,Xavier Worthy,KC,NO,2,8,0.0,4,58,0.4,9.0
5,,Zay Flowers,BAL,@CIN,1,5,0.0,5,60,0.4,8.9
5,,Tee Higgins,CIN,BAL,0,0,0.0,5,65,0.4,8.9
5,,Drake London,ATL,TB,0,0,0.0,5,65,0.4,8.9
5,,Dontayvion Wicks,GB,@LAR,0,0,0.0,5,65,0.4,8.9
5,,Brandon Aiyuk,SF,ARI,0,0,0.0,5,63,0.4,8.7
5,,Chris Olave,NO,@KC,0,0,0.0,5,62,0.4,8.6
5,,Terry McLaurin,WAS,CLE,0,0,0.0,6,60,0.4,8.4
5,,Jaxon Smith-Njigba,SEA,NYG,0,0,0.0,6,66,0.3,8.4
5,,Keon Coleman,BUF,@HOU,0,0,0.0,5,64,0.3,8.2
5,,Brian Thomas Jr.,JAC,IND,0,0,0.0,5,63,0.3,8.1
5,,Josh Downs,IND,@JAC,0,0,0.0,6,62,0.3,8.0
5,,Rashid Shaheed,NO,@KC,0,0,0.0,3,56,0.4,8.0
5,,D.J. Moore,CHI,CAR,0,0,0.0,5,60,0.3,7.8
5,,Christian Kirk,JAC,IND,0,0,0.0,4,59,0.3,7.7
5,,Wan'Dale Robinson,NYG,@SEA,0,0,0.0,6,64,0.2,7.6
5,,Courtland Sutton,DEN,LV,0,0,0.0,4,57,0.3,7.5
5,,Darius Slayton,NYG,@SEA,0,0,0.0,4,55,0.3,7.3
5,,Tank Dell,HOU,BUF,0,0,0.0,4,54,0.3,7.2
5,,Jakobi Meyers,LV,@DEN,0,0,0.0,5,53,0.3,7.1
5,,Darnell Mooney,ATL,TB,0,0,0.0,4,53,0.3,7.1
5,,Jordan Whittington,LAR,GB,0,0,0.0,5,57,0.2,6.9
5,,Jordan Addison,MIN,NYJ,0,0,0.0,4,48,0.3,6.6
5,,Tutu Atwell,LAR,GB,0,0,0.0,3,54,0.2,6.6
5,,Michael Wilson,ARI,@SF,0,0,0.0,3,46,0.3,6.4
5,,Allen Lazard,NYJ,@MIN,0,0,0.0,4,45,0.3,6.3
5,,Jauan Jennings,SF,ARI,0,0,0.0,4,49,0.2,6.1
5,,Demarcus Robinson,LAR,GB,0,0,0.0,4,48,0.2,6.0
5,,Jaylen Waddle,MIA,@NE,0,0,0.0,3,42,0.3,6.0
5,,Tre Tucker,LV,@DEN,0,0,0.0,4,47,0.2,5.9
5,,Keenan Allen,CHI,CAR,0,0,0.0,3,40,0.3,5.8
5,,Rome Odunze,CHI,CAR,0,0,0.0,3,40,0.3,5.8
5,,Jalen Tolbert,DAL,@PIT,0,0,0.0,3,45,0.2,5.7
6,,Ja'Marr Chase,CIN,@NYG,0,0,0.0,6,86,0.7,12.8
6,,Jayden Reed,GB,ARI,2,15,0.0,6,75,0.5,12.0
6,,CeeDee Lamb,DAL,DET,0,0,0.0,6,82,0.6,11.8
6,,Amon-Ra St. Brown,DET,@DAL,0,0,0.0,7,87,0.5,11.7
6,,Mike Evans,TB,@NO,0,0,0.0,5,77,0.6,11.3
6,,DK Metcalf,SEA,SF,0,0,0.0,6,82,0.5,11.2
6,,Stefon Diggs,HOU,@NE,0,0,0.0,6,74,0.5,10.4
6,,Chris Godwin,TB,@NO,0,0,0.0,6,73,0.5,10.3
6,,Deebo Samuel,SF,@SEA,3,13,0.0,5,65,0.4,10.2
6,,A.J. Brown,PHI,CLE,0,0,0.0,6,77,0.4,10.1
6,,Marvin Harrison Jr.,ARI,@GB,0,0,0.0,6,70,0.5,10.0
6,,Garrett Wilson,NYJ,BUF,0,0,0.0,5,70,0.5,10.0
6,,Brandon Aiyuk,SF,@SEA,0,0,0.0,5,73,0.4,9.7
6,,Amari Cooper,CLE,@PHI,0,0,0.0,5,67,0.5,9.7
6,,DeVonta Smith,PHI,CLE,0,0,0.0,5,72,0.4,9.6
6,,Zay Flowers,BAL,WAS,1,5,0.0,6,65,0.4,9.4
6,,Tee Higgins,CIN,@NYG,0,0,0.0,5,69,0.4,9.3
6,,Drake London,ATL,@CAR,0,0,0.0,6,68,0.4,9.2
6,,Terry McLaurin,WAS,@BAL,0,0,0.0,6,67,0.4,9.1
6,,Diontae Johnson,CAR,ATL,0,0,0.0,5,66,0.4,9.0
6,,Jameson Williams,DET,@DAL,0,0,0.0,4,65,0.4,8.9
6,,George Pickens,PIT,@LV,0,0,0.0,5,63,0.4,8.7
6,,Brian Thomas Jr.,JAC,@CHI,0,0,0.0,5,63,0.4,8.7
6,,Jaxon Smith-Njigba,SEA,SF,0,0,0.0,6,68,0.3,8.6
6,,Darius Slayton,NYG,CIN,0,0,0.0,5,67,0.3,8.5
6,,Josh Downs,IND,@TEN,0,0,0.0,6,66,0.3,8.4
6,,D.J. Moore,CHI,JAC,0,0,0.0,5,65,0.3,8.3
6,,Calvin Ridley,TEN,IND,0,0,0.0,5,65,0.3,8.3
6,,Christian Kirk,JAC,@CHI,0,0,0.0,4,60,0.3,7.8
6,,Chris Olave,NO,TB,0,0,0.0,5,60,0.3,7.8
6,,Wan'Dale Robinson,NYG,CIN,0,0,0.0,6,65,0.2,7.7
6,,Courtland Sutton,DEN,LAC,0,0,0.0,5,59,0.3,7.7
6,,Tank Dell,HOU,@NE,0,0,0.0,4,58,0.3,7.6
6,,Michael Pittman Jr.,IND,@TEN,0,0,0.0,5,57,0.3,7.5
6,,Darnell Mooney,ATL,@CAR,0,0,0.0,4,55,0.3,7.3
