Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,season,PlayerURL
2,Cooper Kupp*+,LAR,WR,28,17,17,0,1,0,0,0,4,18,4.50,0,191,145,1947,13.43,16,0,0,16,1,,295.0,439.5,442.5,367.0,163,1,2,2021,
3,Deebo Samuel*+,SFO,WR,25,16,15,1,2,24,1,0,59,365,6.19,8,121,77,1405,18.25,6,4,2,14,,,262.0,339.0,347.0,300.5,132,2,3,2021,
8,Ja'Marr Chase*,CIN,WR,21,17,17,0,0,0,0,0,7,21,3.00,0,128,81,1455,17.96,13,2,1,13,,,224.0,304.6,308.6,264.1,96,3,8,2021,
10,Justin Jefferson*,MIN,WR,22,17,17,2,4,35,0,0,6,14,2.33,0,167,108,1616,14.96,10,1,1,10,,,222.0,330.4,334.4,276.4,95,4,10,2021,
12,Davante Adams*+,GNB,WR,29,16,16,0,0,0,0,0,0,0,,0,169,123,1553,12.63,11,0,0,11,,,221.0,344.3,347.3,282.8,94,5,12,2021,
17,Mike Evans*,TAM,WR,28,16,16,0,0,0,0,0,1,10,10.00,0,114,74,1035,13.99,14,0,0,14,,,189.0,262.5,265.5,225.5,63,6,17,2021,
19,Tyreek Hill*,KAN,WR,27,17,16,0,0,0,0,0,9,96,10.67,0,159,111,1239,11.16,9,2,1,9,,,186.0,296.5,300.5,241.0,60,7,19,2021,
21,Stefon Diggs*,BUF,WR,28,17,17,0,0,0,0,0,0,0,,0,164,103,1225,11.89,10,1,0,10,,,183.0,285.5,288.5,234.0,57,8,21,2021,
25,Mike Williams,LAC,WR,27,16,14,0,0,0,0,0,0,0,,0,129,76,1146,15.08,9,0,0,9,1,,171.0,246.6,249.6,208.6,46,9,25,2021,https://www.pro-football-reference.com/players/W/WillMi07.htm
26,D.K. Metcalf,SEA,WR,24,17,17,0,0,0,0,0,1,6,6.00,0,129,75,967,12.89,12,1,0,12,,,169.0,244.3,247.3,206.8,45,10,26,2021,https://www.pro-football-reference.com/players/M/MetcDK00.htm
27,Tyler Lockett,SEA,WR,29,16,16,0,0,0,0,0,2,9,4.50,0,107,73,1175,16.10,8,0,0,8,1,,168.0,241.4,244.4,204.9,44,11,27,2021,https://www.pro-football-reference.com/players/L/LockTy00.htm
30,Diontae Johnson*,PIT,WR,25,16,14,0,0,0,0,0,5,53,10.60,0,169,107,1161,10.85,8,2,2,8,1,,167.0,274.4,279.4,220.9,43,12,30,2021,
38,Hunter Renfrow*,LVR,WR,26,17,9,0,0,0,0,0,3,3,1.00,0,128,103,1038,10.08,9,5,1,9,,,156.0,259.1,263.1,207.6,32,13,38,2021,
41,CeeDee Lamb*,DAL,WR,22,16,13,0,0,0,0,0,9,76,8.44,0,120,79,1102,13.95,6,0,0,6,,,154.0,232.8,235.8,193.3,30,14,41,2021,
44,Keenan Allen*,LAC,WR,29,16,16,0,1,0,0,0,0,0,,0,157,106,1138,10.74,6,1,0,6,,1,152.0,257.8,260.8,204.8,28,15,44,2021,
45,Michael Pittman Jr.,IND,WR,24,17,17,0,0,0,0,0,5,44,8.80,0,129,88,1082,12.30,6,1,0,6,1,,151.0,238.6,241.6,194.6,27,16,45,2021,https://www.pro-football-reference.com/players/P/PittMi01.htm
50,Tee Higgins,CIN,WR,22,14,14,0,0,0,0,0,0,0,,0,110,74,1091,14.74,6,1,1,6,1,,145.0,219.1,223.1,182.1,22,17,50,2021,https://www.pro-football-reference.com/players/H/HiggTe00.htm
51,D.J. Moore,CAR,WR,24,17,17,0,0,0,0,0,8,48,6.00,0,163,93,1157,12.44,4,1,1,4,1,,145.0,237.5,241.5,191.0,22,18,51,2021,https://www.pro-football-reference.com/players/M/MoorD.00.htm
53,Chris Godwin,TAM,WR,25,14,14,0,0,0,0,0,4,21,5.25,1,127,98,1103,11.26,5,2,2,6,,,144.0,242.4,247.4,193.4,21,19,53,2021,https://www.pro-football-reference.com/players/G/GodwCh00.htm
56,Jaylen Waddle,MIA,WR,23,16,16,0,0,0,0,0,2,3,1.50,1,140,104,1015,9.76,6,2,1,7,,,142.0,245.8,249.8,193.8,19,21,56,2021,https://www.pro-football-reference.com/players/W/WaddJa00.htm
57,Brandin Cooks,HOU,WR,28,16,16,0,0,0,0,0,2,21,10.50,0,134,90,1037,11.52,6,0,0,6,,,142.0,231.8,234.8,186.8,19,20,57,2021,https://www.pro-football-reference.com/players/C/CookBr00.htm
58,Darnell Mooney,CHI,WR,24,17,14,0,0,0,0,0,6,32,5.33,1,140,81,1055,13.02,4,0,0,5,,,139.0,219.7,222.7,179.2,16,22,58,2021,https://www.pro-football-reference.com/players/M/MoonDa00.htm
62,Amon-Ra St. Brown,DET,WR,22,17,9,0,0,0,0,0,7,61,8.71,1,119,90,912,10.13,5,0,0,6,2,,137.0,227.3,230.3,182.3,15,23,62,2021,https://www.pro-football-reference.com/players/S/StxxAm00.htm
63,Terry McLaurin,WAS,WR,26,17,17,0,0,0,0,0,1,12,12.00,0,130,77,1053,13.68,5,0,0,5,,,137.0,213.5,216.5,175.0,14,24,63,2021,https://www.pro-football-reference.com/players/M/McLaTe00.htm
65,Marquise Brown,BAL,WR,24,16,16,0,0,0,0,0,1,5,5.00,0,146,91,1008,11.08,6,3,1,6,,,135.0,226.3,230.3,180.8,13,25,65,2021,https://www.pro-football-reference.com/players/B/BrowMa04.htm
66,Amari Cooper,DAL,WR,27,15,14,0,0,0,0,0,0,0,,0,104,68,865,12.72,8,1,0,8,,,135.0,202.5,205.5,168.5,12,26,66,2021,https://www.pro-football-reference.com/players/C/CoopAm00.htm
68,Adam Thielen,MIN,WR,31,13,13,0,0,0,0,0,1,2,2.00,0,95,67,726,10.84,10,1,0,10,,,133.0,199.8,202.8,166.3,11,27,68,2021,https://www.pro-football-reference.com/players/T/ThieAd00.htm
69,Christian Kirk,ARI,WR,25,17,11,1,1,33,0,0,1,11,11.00,0,103,77,982,12.75,5,0,0,5,,,131.0,207.6,210.6,169.1,8,28,69,2021,https://www.pro-football-reference.com/players/K/KirkCh01.htm
72,Kendrick Bourne,NWE,WR,26,17,5,1,1,25,1,0,12,125,10.42,0,70,55,800,14.55,5,1,1,5,,,126.0,180.5,187.5,153.0,4,29,72,2021,https://www.pro-football-reference.com/players/B/BourKe00.htm
101,DeVonta Smith,PHI,WR,23,17,16,0,0,0,0,0,0,0,,0,104,64,916,14.31,5,1,1,5,1,,122.0,185.6,189.6,153.6,,30,,2021,https://www.pro-football-reference.com/players/S/SmitDe07.htm
102,A.J. Brown,TEN,WR,24,13,13,0,2,0,0,0,2,10,5.00,0,105,63,869,13.79,5,0,0,5,,,118.0,180.9,183.9,149.4,,32,,2021,https://www.pro-football-reference.com/players/B/BrowAJ00.htm
104,Van Jefferson,LAR,WR,25,17,17,0,0,0,0,0,2,20,10.00,0,89,50,802,16.04,6,0,0,6,,,118.0,168.2,171.2,143.2,,31,,2021,https://www.pro-football-reference.com/players/J/JeffVa00.htm
105,Tyler Boyd,CIN,WR,27,16,10,1,1,46,0,0,2,22,11.00,0,94,67,828,12.36,5,1,0,5,,,117.0,183.8,186.8,150.3,,33,,2021,https://www.pro-football-reference.com/players/B/BoydTy00.htm
108,Brandon Aiyuk,SFO,WR,23,17,16,0,0,0,0,0,5,17,3.40,0,84,56,826,14.75,5,2,1,5,1,,114.0,170.3,174.3,142.3,,34,,2021,https://www.pro-football-reference.com/players/A/AiyuBr00.htm
111,K.J. Osborn,MIN,WR,24,17,9,0,0,0,0,0,1,10,10.00,0,82,50,655,13.10,7,0,0,7,,,109.0,158.5,161.5,133.5,,35,,2021,https://www.pro-football-reference.com/players/O/OsboKJ00.htm
113,Chase Claypool,PIT,WR,23,15,13,0,0,0,0,0,14,96,6.86,0,105,59,860,14.58,2,0,0,2,,,108.0,166.6,169.6,137.1,,36,,2021,https://www.pro-football-reference.com/players/C/ClayCh01.htm
114,Marvin Jones,JAX,WR,31,17,16,0,0,0,0,0,0,0,,0,120,73,832,11.40,4,0,0,4,,,107.0,180.2,183.2,143.7,,37,,2021,https://www.pro-football-reference.com/players/J/JoneMa02.htm
115,Marquez Callaway,NOR,WR,23,17,11,0,0,0,0,0,0,0,,0,84,46,698,15.17,6,0,0,6,,,106.0,151.8,154.8,128.8,,38,,2021,https://www.pro-football-reference.com/players/C/CallMa01.htm
116,DeAndre Hopkins,ARI,WR,29,10,10,0,0,0,0,0,0,0,,0,64,42,572,13.62,8,0,0,8,,,105.0,147.2,150.2,126.2,,39,,2021,https://www.pro-football-reference.com/players/H/HopkDe00.htm
118,A.J. Green,ARI,WR,33,16,9,0,0,0,0,0,0,0,,0,92,54,848,15.70,3,0,0,3,,,103.0,156.8,159.8,129.8,,43,,2021,https://www.pro-football-reference.com/players/G/GreeA.00.htm
119,Allen Lazard,GNB,WR,26,15,13,0,0,0,0,0,3,32,10.67,0,60,40,513,12.83,8,0,0,8,,,103.0,142.5,145.5,122.5,,44,,2021,https://www.pro-football-reference.com/players/L/LazaAl00.htm
120,Jakobi Meyers,NWE,WR,25,17,16,2,2,45,0,0,1,9,9.00,0,126,83,866,10.43,2,1,1,2,2,,103.0,186.3,190.3,144.8,,41,,2021,https://www.pro-football-reference.com/players/M/MeyeJa01.htm
121,Tim Patrick,DEN,WR,28,16,16,0,0,0,0,0,0,0,,0,85,53,734,13.85,5,0,0,5,,,103.0,156.4,159.4,129.9,,40,,2021,https://www.pro-football-reference.com/players/P/PatrTi00.htm
122,Cedrick Wilson Jr.,DAL,WR,26,16,4,3,3,88,0,0,2,11,5.50,0,61,45,602,13.38,6,3,0,6,1,,103.0,147.8,150.8,125.3,,42,,2021,https://www.pro-football-reference.com/players/W/WilsCe01.htm
126,Russell Gage,ATL,WR,25,14,9,0,0,0,0,0,0,0,,0,94,66,770,11.67,4,2,2,4,,,97.0,163.0,168.0,130.0,,45,,2021,https://www.pro-football-reference.com/players/G/GageRu00.htm
127,Elijah Moore,NYJ,WR,21,11,6,0,0,0,0,0,5,54,10.80,1,77,43,538,12.51,5,0,0,6,,,95.0,138.2,141.2,116.7,,46,,2021,https://www.pro-football-reference.com/players/M/MoorEl00.htm
134,Courtland Sutton,DEN,WR,26,17,16,1,1,16,0,0,0,0,,0,98,58,776,13.38,2,0,0,2,1,,92.0,150.2,153.2,121.2,,47,,2021,https://www.pro-football-reference.com/players/S/SuttCo00.htm
135,Robert Woods,LAR,WR,29,9,9,0,0,0,0,0,8,46,5.75,1,69,45,556,12.36,4,0,0,5,1,,92.0,137.2,140.2,114.7,,48,,2021,https://www.pro-football-reference.com/players/W/WoodRo02.htm
136,Gabriel Davis,BUF,WR,22,16,4,0,0,0,0,0,0,0,,0,63,35,549,15.69,6,0,0,6,,,91.0,125.9,128.9,108.4,,49,,2021,https://www.pro-football-reference.com/players/D/DaviGa01.htm
141,Emmanuel Sanders,BUF,WR,34,14,13,0,0,0,0,0,2,31,15.50,0,72,42,626,14.90,4,0,0,4,,,90.0,131.7,134.7,110.7,,50,,2021,https://www.pro-football-reference.com/players/S/SandEm00.htm
