Week,Player,Game,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
4,Mike Evans,KC@TB,22.00,0,0,0,0,0,0,0,0,0,0,8,103,2,0,0,0
4,Justin Jefferson,MIN@NO,20.00,0,0,0,0,0,0,1,3,1,0,10,147,0,0,0,0
4,Tee Higgins,MIA@CIN,18.00,0,0,0,0,0,0,0,0,0,0,7,124,1,0,0,0
4,Jamal Agnew,JAX@PHI,17.00,0,0,0,0,0,0,0,0,0,0,4,50,2,0,0,0
4,Deebo Samuel,LA@SF,17.00,0,0,0,0,0,0,2,2,0,0,6,115,1,0,0,0
4,Tyreek Hill,MIA@CIN,16.00,0,0,0,0,0,0,1,-1,0,0,10,160,0,0,0,0
4,CeeDee Lamb,WAS@DAL,15.00,0,0,0,0,0,0,0,0,0,0,6,97,1,0,0,0
4,Marquise Brown,ARI@CAR,14.00,0,0,0,0,0,0,0,0,0,0,6,88,1,0,0,0
4,D.K. Metcalf,SEA@DET,14.00,0,0,0,0,0,0,0,0,0,0,7,149,0,0,0,0
4,Josh Reynolds,SEA@DET,14.00,0,0,0,0,0,0,0,0,0,0,7,81,1,0,0,0
4,Corey Davis,NYJ@PIT,13.00,0,0,0,0,0,0,0,0,0,0,5,74,1,0,0,0
4,Cooper Kupp,LA@SF,12.00,0,0,0,0,0,0,0,0,0,0,14,122,0,0,0,0
4,Chris Olave,MIN@NO,12.00,0,0,0,0,0,0,0,0,0,0,4,67,1,0,0,0
4,Mike Williams,LAC@HOU,12.00,0,0,0,0,0,0,0,0,0,0,7,120,0,0,0,0
4,Brandin Cooks,LAC@HOU,11.00,0,0,0,0,0,0,0,0,0,0,7,57,1,0,0,0
4,Jerry Jeudy,DEN@LV,11.00,0,0,0,0,0,0,0,0,0,0,4,53,1,0,0,0
4,Allen Lazard,NE@GB,11.00,0,0,0,0,0,0,0,0,0,0,6,116,0,0,0,0
4,Courtland Sutton,DEN@LV,11.00,0,0,0,0,0,0,0,0,0,0,5,52,1,0,0,0
4,Davante Adams,DEN@LV,10.00,0,0,0,0,0,0,1,4,0,0,9,101,0,0,0,0
4,Jahan Dotson,WAS@DAL,10.00,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
4,George Pickens,NYJ@PIT,10.00,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,0
4,A.J. Brown,JAX@PHI,9.00,0,0,0,0,0,0,0,0,0,0,5,95,0,0,0,0
4,Romeo Doubs,NE@GB,9.00,0,0,0,0,0,0,0,0,0,0,5,47,1,0,1,0
4,Darnell Mooney,CHI@NYG,9.00,0,0,0,0,0,0,0,0,0,0,4,94,0,0,0,0
4,Robert Woods,TEN@IND,9.00,0,0,0,0,0,0,0,0,0,0,4,30,1,0,0,0
4,Ja'Marr Chase,MIA@CIN,8.00,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
4,Nico Collins,LAC@HOU,8.00,0,0,0,0,0,0,0,0,0,0,3,82,0,0,0,0
4,Michael Gallup,WAS@DAL,8.00,0,0,0,0,0,0,0,0,0,0,2,24,1,0,0,0
4,Tyler Lockett,SEA@DET,8.00,0,0,0,0,0,0,0,0,0,0,6,91,0,0,1,0
4,Isaiah McKenzie,BUF@BAL,8.00,0,0,0,0,0,0,0,0,0,0,4,21,1,0,0,0
4,DeVante Parker,NE@GB,8.00,0,0,0,0,0,0,0,0,0,0,2,24,1,0,0,0
4,Alec Pierce,TEN@IND,8.00,0,0,0,0,0,0,0,0,0,0,4,80,0,0,0,0
4,Donovan Peoples-Jones,CLE@ATL,7.00,0,0,0,0,0,0,0,0,0,0,5,71,0,0,0,0
4,Adam Thielen,MIN@NO,7.00,0,0,0,0,0,0,0,0,0,0,8,72,0,0,0,0
4,Christian Watson,NE@GB,7.00,0,0,0,0,0,0,1,15,1,0,1,8,0,0,0,0
4,Braxton Berrios,NYJ@PIT,6.00,1,1,2,1,0,0,0,0,0,0,1,6,0,0,0,0
4,Noah Brown,WAS@DAL,6.00,0,0,0,0,0,0,0,0,0,0,3,61,0,0,0,0
4,Stefon Diggs,BUF@BAL,6.00,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0
4,Christian Kirk,JAX@PHI,6.00,0,0,0,0,0,0,1,3,0,0,2,60,0,0,0,0
4,D.J. Moore,ARI@CAR,6.00,0,0,0,0,0,0,1,11,0,0,6,50,0,0,0,0
4,Marquez Valdes-Scantling,KC@TB,6.00,0,0,0,0,0,0,0,0,0,0,3,63,0,0,0,0
4,Marquez Callaway,MIN@NO,5.00,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0
4,Devin Duvernay,BUF@BAL,5.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
4,Chris Godwin,KC@TB,5.00,0,0,0,0,0,0,0,0,0,0,7,59,0,0,0,0
4,KJ Hamler,DEN@LV,5.00,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0
4,Tom Kennedy,SEA@DET,5.00,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0
4,Elijah Moore,NYJ@PIT,5.00,0,0,0,0,0,0,1,2,0,0,3,53,0,0,0,0
4,Trent Sherfield,MIA@CIN,5.00,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0
4,Olamide Zaccheaus,CLE@ATL,5.00,0,0,0,0,0,0,0,0,0,0,2,55,0,0,0,0
4,Nelson Agholor,NE@GB,4.00,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0
4,Michael Bandy,LAC@HOU,4.00,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0
4,Tyler Boyd,MIA@CIN,4.00,1,1,23,0,0,0,0,0,0,0,2,47,0,0,0,0
4,Parris Campbell,TEN@IND,4.00,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
4,Randall Cobb,NE@GB,4.00,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
4,JuJu Smith-Schuster,KC@TB,4.00,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
4,Garrett Wilson,NYJ@PIT,4.00,0,0,0,0,0,0,0,0,0,0,2,41,0,0,0,0
4,Brandon Aiyuk,LA@SF,3.00,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
4,David Bell,CLE@ATL,3.00,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
4,Kendrick Bourne,NE@GB,3.00,0,0,0,0,0,0,1,15,0,0,2,23,0,0,0,0
4,Kendall Hinton,DEN@LV,3.00,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0
4,Mack Hollins,DEN@LV,3.00,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
4,Skyy Moore,KC@TB,3.00,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
4,Michael Pittman,TEN@IND,3.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
4,Curtis Samuel,WAS@DAL,3.00,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
4,Ben Skowronek,LA@SF,3.00,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
4,Jaylen Waddle,MIA@CIN,3.00,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0
4,Robbie Chosen,ARI@CAR,2.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
4,Russell Gage,KC@TB,2.00,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
4,Jauan Jennings,LA@SF,2.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
4,Diontae Johnson,NYJ@PIT,2.00,0,0,0,0,0,0,2,11,0,0,2,11,0,0,0,0
4,Jarvis Landry,MIN@NO,2.00,0,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0
4,Josh Palmer,LAC@HOU,2.00,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
4,Kalif Raymond,SEA@DET,2.00,0,0,0,0,0,0,1,3,0,0,3,38,0,0,1,0
4,Khalil Shakir,BUF@BAL,2.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
4,Rashod Bateman,BUF@BAL,1.00,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
4,Treylon Burks,TEN@IND,1.00,0,0,0,0,0,0,1,4,0,0,2,14,0,0,0,0
4,Quintez Cephus,SEA@DET,1.00,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
4,Gabriel Davis,BUF@BAL,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
4,Ashton Dulin,TEN@IND,1.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
4,D'Wayne Eskridge,SEA@DET,1.00,0,0,0,0,0,0,1,6,0,0,1,10,0,0,0,0
4,Drake London,CLE@ATL,1.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
4,Terry McLaurin,WAS@DAL,1.00,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
4,Rondale Moore,ARI@CAR,1.00,0,0,0,0,0,0,1,-4,0,0,3,11,0,0,0,0
4,Jalen Nailor,MIN@NO,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
4,Brandon Powell,LA@SF,1.00,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
4,Demarcus Robinson,BUF@BAL,1.00,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
4,Darius Slayton,CHI@NYG,1.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
4,DeVonta Smith,JAX@PHI,1.00,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
4,Tre'Quan Smith,MIN@NO,1.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
4,Cole Beasley,KC@TB,0.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
4,Dyami Brown,WAS@DAL,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
4,DeAndre Carter,LAC@HOU,0.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,1,0
4,Amari Cooper,CLE@ATL,0.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
4,Jamison Crowder,BUF@BAL,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
4,Greg Dortch,ARI@CAR,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
4,Mecole Hardman,KC@TB,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
4,Lil'Jordan Humphrey,NE@GB,0.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
4,Julio Jones,KC@TB,0.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
4,Ray Ray McCloud,LA@SF,0.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
4,Gunner Olszewski,NYJ@PIT,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,K.J. Osborn,MIN@NO,0.00,0,0,0,0,0,0,1,-1,0,0,1,6,0,0,0,0
4,Allen Robinson,LA@SF,0.00,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
4,Laviska Shenault,ARI@CAR,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,David Sills,CHI@NYG,0.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
4,Montrell Washington,DEN@LV,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
4,Deonte Harty,MIN@NO,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,Richie James,CHI@NYG,-1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0
4,Velus Jones,CHI@NYG,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
